epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,13339.4,0.43097,0.60078,0.53308,1.0633,0.20723,1,0.20729,0.18962,0.20723,1,0.20729,0.1971,0.47103,0.4261,3.59595,1.02916,0.0008516,0.0008516,0.0008516
31,13807.6,0.43614,0.61542,0.52062,1.07177,0.20586,1,0.21654,0.19656,0.20586,1,0.21654,0.2047,0.47739,0.42204,3.66948,0.98457,0.000812,0.000812,0.000812
32,14231.9,0.41324,0.57666,0.52752,1.0575,0.20821,1,0.24747,0.22631,0.20821,1,0.24747,0.23362,0.52753,0.3921,3.37205,1.13927,0.0007724,0.0007724,0.0007724
33,14677.7,0.41817,0.58051,0.51806,1.05473,0.20611,0.99519,0.20917,0.18384,0.20611,0.99519,0.20917,0.19467,0.47495,0.41045,3.35771,1.00068,0.0007328,0.0007328,0.0007328
34,15131.9,0.42344,0.59964,0.52266,1.0591,0.20754,1,0.21012,0.18868,0.20754,1,0.21012,0.19778,0.46717,0.43654,3.5273,0.97553,0.0006932,0.0006932,0.0006932
35,15556.5,0.40158,0.5607,0.49331,1.04023,0.20648,0.99749,0.20945,0.19153,0.20648,0.99749,0.20945,0.19891,0.45104,0.38266,3.7463,0.94282,0.0006536,0.0006536,0.0006536
36,15879.3,0.40064,0.56447,0.51728,1.03739,0.20684,1,0.20887,0.19091,0.20684,1,0.20887,0.19759,0.47607,0.38705,3.42429,0.92783,0.000614,0.000614,0.000614
37,16240.8,0.4041,0.56234,0.51298,1.04681,0.20729,1,0.2144,0.19802,0.20729,1,0.2144,0.20378,0.4206,0.38417,3.82676,0.87697,0.0005744,0.0005744,0.0005744
38,16694.3,0.39894,0.55636,0.48551,1.03194,0.20737,1,0.214,0.19311,0.20737,1,0.214,0.20351,0.45645,0.39372,3.41431,0.94329,0.0005348,0.0005348,0.0005348
39,17145.4,0.39747,0.56589,0.50485,1.03747,0.20684,1,0.2141,0.19796,0.20684,1,0.2141,0.20526,0.42616,0.3811,3.616,0.91673,0.0004952,0.0004952,0.0004952
40,17517.3,0.3989,0.57051,0.50553,1.03463,0.20673,1,0.23965,0.22881,0.20673,1,0.23965,0.23159,0.41532,0.37959,3.49017,0.91093,0.0004556,0.0004556,0.0004556
41,17994.8,0.44107,0.39068,0.50066,0.93549,0.20725,1,0.23034,0.21831,0.20725,1,0.23034,0.22147,0.42481,0.38002,3.47013,0.91222,0.000416,0.000416,0.000416
42,18453.9,0.4444,0.3667,0.48592,0.88838,0.20727,1,0.22087,0.20625,0.20727,1,0.22087,0.21226,0.42117,0.36666,3.39991,0.87332,0.0003764,0.0003764,0.0003764
43,18861.5,0.44354,0.37141,0.49008,0.89068,0.20728,1,0.22957,0.21568,0.20728,1,0.22957,0.22163,0.4057,0.36503,3.1782,0.88609,0.0003368,0.0003368,0.0003368
44,19247.7,0.43009,0.3582,0.48611,0.8639,0.20729,1,0.22825,0.21358,0.20729,1,0.22825,0.22206,0.38773,0.36699,3.55798,0.85228,0.0002972,0.0002972,0.0002972
45,19631.7,0.40451,0.35213,0.47177,0.85655,0.20728,1,0.22545,0.21338,0.20728,1,0.22545,0.2173,0.39143,0.37255,3.34963,0.87154,0.0002576,0.0002576,0.0002576
46,20098.6,0.42187,0.35416,0.47095,0.86938,0.20716,1,0.22029,0.20709,0.20716,1,0.22029,0.21369,0.40577,0.37504,3.38014,0.88128,0.000218,0.000218,0.000218
47,20521.4,0.41345,0.35409,0.46273,0.84711,0.20866,0.98039,0.22676,0.21797,0.20866,0.98039,0.22676,0.22112,0.37463,0.35652,3.36615,0.82851,0.0001784,0.0001784,0.0001784
48,20942.2,0.41619,0.3428,0.46112,0.82831,0.20728,1,0.22517,0.21546,0.20728,1,0.22517,0.21964,0.37116,0.36446,3.53864,0.84006,0.0001388,0.0001388,0.0001388
49,21297.2,0.38593,0.3392,0.44595,0.82399,0.20745,1,0.21617,0.20754,0.20745,1,0.21617,0.21112,0.36096,0.36186,3.35583,0.83169,9.92e-05,9.92e-05,9.92e-05
50,21742.4,0.38406,0.34051,0.44514,0.82823,0.20729,1,0.21549,0.2065,0.20729,1,0.21549,0.21058,0.36272,0.35903,3.42163,0.82977,5.96e-05,5.96e-05,5.96e-05
